term,nmodels,coef,freq
enter,100,0.05446599381901487,0.08605549701440113
double,100,0.054255447593937065,0.1339421613394216
information,100,0.052304200723243946,0.22491511532607422
goal__2,100,0.0520370552750663,0.03711509190961246
test,100,-0.05180243889455438,0.19119541037349255
world,100,0.05123452617134339,0.5053272450532724
close,100,-0.0502594185853055,0.18323381337079966
inspiration,100,0.04982337844198339,0.05245287437068259
exciting,100,-0.04977943598667878,0.15384615384615385
note,100,0.0492093803177026,0.30605315536822386
incredible,100,0.04905533759677055,0.06299028216836436
ready,100,-0.048735655321842944,0.2660110057370331
purchase,100,-0.0487098821708648,0.19260039807985013
person,100,-0.048237231122083585,0.11626273270108886
book,100,0.04807023261479276,0.2914178667603325
progress,100,-0.0479342208927578,0.1339421613394216
50,100,-0.046655762141268944,0.20758693361433087
ship,100,0.04650705374947868,0.3656480505795574
dark,100,0.04644898254626261,0.15583655309682706
60,100,0.04520633252250254,0.13066385669125394
win,100,-0.043819131791786876,0.3421145064980681
plan,100,-0.04377923847254736,0.273972602739726
spend,100,-0.04237047873555174,0.18393630722397847
fantastic,100,0.04215594163286186,0.10525699566795457
proud,100,0.04108979466557162,0.0730593607305936
main,100,-0.03972429304466913,0.14518206299028216
character__card,100,0.03938562841752089,0.033368458025992274
arrive,100,0.03937070166472164,0.06591733988994262
create,100,-0.03883890960806069,0.5669125395152792
black,100,0.03816750098675075,0.19763493736096477
twitter,100,0.03757377351660845,0.12492682355696054
concept,100,-0.037055171545519634,0.17012059477812902
check,100,0.03597082879475287,0.33567497951059594
future,100,-0.03485106170751366,0.21999765835382273
6,100,0.033171578118838724,0.35850602973890644
fight,100,-0.032410069773813055,0.18651211801896733
upgrade,100,0.03148609987738933,0.16332982086406744
limit,100,-0.031260524203654556,0.13757171291417866
artist,100,-0.029261314986352014,0.2507903055848261
attack,100,-0.02897836300844831,0.1582952815829528
provide,100,-0.028596660428016594,0.32584006556609296
produce,100,-0.028126884867158423,0.31858096241657885
cover,100,0.028012980065152113,0.28240252897787144
stuff,100,0.02767688203577656,0.11860437887835149
boardgamegeek,100,0.027275604289066138,0.0395738203957382
lose,100,-0.02725384347402632,0.16941810092495024
price,100,-0.0271973228950522,0.27139679194473715
printing,100,-0.027116011538351074,0.1239901650860555
retail,100,0.026999672927035513,0.1300784451469383
night,100,0.02698913058212767,0.15267533075752254
easy,100,0.026945204740121673,0.3631893220934317
pay,100,-0.024367119149343298,0.2521952932911837
past,100,0.02422105134135152,0.14658705069663974
art,100,0.02415568842804638,0.40416813019552744
dice__tower,100,0.023296158081814934,0.03711509190961246
horror,100,0.023073079191943287,0.0745814307458143
begin,100,-0.022898630566243465,0.2342817000351247
awesome,100,0.021094336456431217,0.20173281817117433
additional,100,0.019904884346455095,0.3835616438356164
mind,100,-0.018794078099928283,0.17749678023650625
aspect,100,-0.018629179059538273,0.08628966163212738
edition,100,0.018309307622894996,0.2654255941927175
release,100,0.017675103566502304,0.2602739726027397
base,100,-0.017630111488104793,0.48214494789837253
final,100,0.017517537017874823,0.307106896147992
card__player,100,-0.017222865581817622,0.016157358623112048
change,100,-0.014209934342661866,0.3171759747102213
role,100,0.013230910295646207,0.22187097529563282
time,100,0.013176614236189097,0.6638566912539515
stretch__goals,100,0.012152846838020401,0.14553330991687155
monster,100,0.01151366084571874,0.1532607423018382
low,100,-0.010533508742651968,0.17983842641376888
cool,100,0.010140878718694086,0.15618780002341645
type,100,-0.009590746222501315,0.21824142372087577
illustration,100,0.008734950115482091,0.12598056433672872
offer,100,0.00805250112719423,0.3698630136986301
expansion,100,0.007563444564496312,0.2252663622526636
box,100,-0.007046501747445217,0.3683409436834094
detail,100,0.005952226914660032,0.3016040276314249
5,100,0.002906491220737867,0.45463060531553684
d6__d8,99,0.33662662562881346,0.006907856222924716
level__3,99,-0.1749709995523711,0.009483667017913594
low__cost,99,-0.14646092746039693,0.012410724739491863
campaign__set,99,-0.14172787525883587,0.01767942863833275
super__fun,99,0.1328348072898032,0.0091324200913242
hinder,99,-0.09408240171314662,0.0182648401826484
3000,99,0.08879116062580537,0.02868516567146704
age__8,99,0.08450993075987194,0.01662568785856457
cube,99,0.0819938070189552,0.03126097646645592
kick__starter,99,-0.07270166299315729,0.008078679311556024
shuffle,99,-0.05672181404616863,0.0547945205479452
draft,99,0.051110564556402255,0.0612340475354174
youtube,99,-0.050487885423916704,0.039456738086875075
passion,99,-0.049079773313660896,0.06802482144947898
david,99,0.046503896757641223,0.05268703898840885
game__system,99,-0.045441535174273615,0.04542793583889474
tier,99,0.045134663819199554,0.12527807048354994
expensive,99,-0.036836155068801266,0.09729539866526168
crew,99,0.036578848800168554,0.052921203606135114
lot,99,-0.025123392071181503,0.3230300901533778
represent,99,-0.02101256504429577,0.1627444093197518
prove,99,0.02031086825510225,0.07024938531787847
option,99,0.019270799770112312,0.27350427350427353
artwork,99,-0.017916826909051574,0.2313546423135464
effect,99,-0.014975329184425203,0.12761971666081254
base__game,99,0.014922639340596618,0.08816297857393748
project,99,-0.011448758267241333,0.5638683994848378
micro__game,96,0.21383193879124254,0.007259103149514109
game__backer,96,-0.18935048821405606,0.006907856222924716
1__set,96,-0.17158114931532967,0.0076103500761035
cost__effective,96,-0.16109526642892913,0.009366584709050463
3_5__player,96,0.15613771311408667,0.008078679311556024
goal__unlock,96,0.13003761811775916,0.02084065097763728
simultaneously,96,-0.10266538229602647,0.03020723568668774
game__produce,96,-0.10180274416541657,0.0091324200913242
grade,96,0.10088576398148856,0.023533544081489288
2017,96,0.09779059375320698,0.03032431799555087
