Title,Year,titleyear,AvgRating,MinAge,SuggestedPlayers,solo,two_player,log_playtime,AvgWeight
Hansa Teutonica,2009,Hansa Teutonica (2009),7.63883,12,5,FALSE,FALSE,4.499809670330265,3.1289
Mage Wars Arena,2012,Mage Wars Arena (2012),7.82309,13,2,FALSE,TRUE,4.499809670330265,3.6261
Jaipur,2009,Jaipur (2009),7.54337,12,2,FALSE,TRUE,3.4011973816621555,1.538
Village,2011,Village (2011),7.56851,12,4,FALSE,FALSE,4.499809670330265,3.0731
Ticket to Ride: Nordic Countries,2007,Ticket to Ride: Nordic Countries (2007),7.66553,8,3,FALSE,FALSE,4.0943445622221,1.9979
Go,-2200,Go (-2200),7.67528,8,2,FALSE,TRUE,5.19295685089021,3.9704
Tichu,1991,Tichu (1991),7.60931,10,4,FALSE,FALSE,4.0943445622221,2.3499
Zombicide: Black Plague,2015,Zombicide: Black Plague (2015),7.98202,10,6,TRUE,FALSE,5.19295685089021,2.6056
Imperial Settlers,2014,Imperial Settlers (2014),7.59081,10,2,TRUE,FALSE,4.499809670330265,2.7517
Legendary: A Marvel Deck Building Game,2012,Legendary: A Marvel Deck Building Game (2012),7.63793,14,3,TRUE,FALSE,3.8066624897703196,2.472
Memoir '44,2004,Memoir '44 (2004),7.52967,8,2,FALSE,TRUE,4.0943445622221,2.276
Hannibal: Rome vs. Carthage,1996,Hannibal: Rome vs. Carthage (1996),7.82299,12,2,FALSE,TRUE,5.298317366548036,3.4144
Ticket to Ride,2004,Ticket to Ride (2004),7.48336,8,4,FALSE,FALSE,4.0943445622221,1.8774
Summoner Wars: Master Set,2011,Summoner Wars: Master Set (2011),7.62343,9,2,FALSE,FALSE,3.4011973816621555,2.5152
Lewis & Clark,2013,Lewis & Clark (2013),7.59479,14,3,TRUE,FALSE,4.787491742782046,3.3097
Shogun,2006,Shogun (2006),7.57973,12,5,FALSE,FALSE,5.0106352940962555,3.3742
Age of Empires III: The Age of Discovery,2007,Age of Empires III: The Age of Discovery (2007),7.58802,10,4,FALSE,FALSE,4.787491742782046,3.1295
Dungeon Petz,2011,Dungeon Petz (2011),7.5907,13,4,FALSE,FALSE,4.499809670330265,3.5336
Imperial,2006,Imperial (2006),7.63562,13,4,FALSE,FALSE,5.19295685089021,3.5768
BattleLore (Second Edition),2013,BattleLore (Second Edition) (2013),7.94195,14,2,FALSE,TRUE,4.499809670330265,2.7805
Galaxy Trucker,2007,Galaxy Trucker (2007),7.47522,10,4,FALSE,FALSE,4.0943445622221,2.3108
Space Alert,2008,Space Alert (2008),7.5334,12,5,TRUE,FALSE,3.4011973816621555,2.9279
Runewars,2010,Runewars (2010),7.70024,14,4,FALSE,FALSE,5.19295685089021,3.7504
Cyclades,2009,Cyclades (2009),7.54137,13,5,FALSE,FALSE,4.499809670330265,2.8305
Ra,1999,Ra (1999),7.47394,12,3,FALSE,FALSE,4.0943445622221,2.3562
YINSH,2003,YINSH (2003),7.68007,9,2,FALSE,TRUE,4.0943445622221,2.7349
Mysterium,2015,Mysterium (2015),7.53941,10,5,FALSE,FALSE,3.7376696182833684,1.9361
Bora Bora,2013,Bora Bora (2013),7.60541,12,4,FALSE,FALSE,4.787491742782046,3.7398
Above and Below,2015,Above and Below (2015),7.69229,13,3,FALSE,FALSE,4.499809670330265,2.5579
Glory to Rome,2005,Glory to Rome (2005),7.50175,12,4,FALSE,FALSE,4.0943445622221,2.9225
Captain Sonar,2016,Captain Sonar (2016),7.84878,14,8,FALSE,FALSE,4.0943445622221,2.0645
Carcassonne,2000,Carcassonne (2000),7.43563,8,2,FALSE,FALSE,3.8066624897703196,1.9388
Alien Frontiers,2010,Alien Frontiers (2010),7.49727,13,3,FALSE,FALSE,4.499809670330265,2.5697
Targi,2012,Targi (2012),7.62668,12,2,FALSE,TRUE,4.0943445622221,2.3882
Here I Stand,2006,Here I Stand (2006),7.93759,12,6,FALSE,FALSE,5.886104031450156,4.1313
The Resistance,2009,The Resistance (2009),7.43282,13,7,FALSE,FALSE,3.4011973816621555,1.6371
Seasons,2012,Seasons (2012),7.46993,14,2,FALSE,FALSE,4.0943445622221,2.762
Dixit Odyssey,2011,Dixit Odyssey (2011),7.53058,8,6,FALSE,FALSE,3.4011973816621555,1.2533
Clank!: A Deck-Building Adventure,2016,Clank!: A Deck-Building Adventure (2016),8.05468,12,3,TRUE,FALSE,4.0943445622221,2.2549
Sid Meier's Civilization: The Board Game,2010,Sid Meier's Civilization: The Board Game (2010),7.5109,13,4,FALSE,FALSE,5.480638923341991,3.8531
Navegador,2010,Navegador (2010),7.58632,12,4,FALSE,FALSE,4.499809670330265,3.0905
Sekigahara: The Unification of Japan,2011,Sekigahara: The Unification of Japan (2011),8.06781,12,2,FALSE,TRUE,5.19295685089021,2.7243
Agricola: All Creatures Big and Small,2012,Agricola: All Creatures Big and Small (2012),7.50749,13,2,FALSE,TRUE,3.4011973816621555,2.3502
1960: The Making of the President,2007,1960: The Making of the President (2007),7.56451,12,2,FALSE,TRUE,4.499809670330265,3.1986
1830: Railways & Robber Barons,1986,1830: Railways & Robber Barons (1986),7.80766,14,4,FALSE,FALSE,5.886104031450156,4.1547
Imperial 2030,2009,Imperial 2030 (2009),7.74083,12,4,FALSE,FALSE,4.787491742782046,3.5034
Isle of Skye: From Chieftain to King,2015,Isle of Skye: From Chieftain to King (2015),7.5283,8,4,FALSE,FALSE,3.912023005428146,2.2768
Grand Austria Hotel,2015,Grand Austria Hotel (2015),7.77222,12,2,FALSE,FALSE,4.787491742782046,3.2312
Magic: The Gathering,1993,Magic: The Gathering (1993),7.43817,13,2,FALSE,TRUE,2.995732273553991,3.1446
Die Macher,1986,Die Macher (1986),7.66563,14,5,FALSE,FALSE,5.480638923341991,4.3477
Power Grid Deluxe: Europe/North America,2014,Power Grid Deluxe: Europe/North America (2014),8.14722,12,4,FALSE,FALSE,4.787491742782046,3.21
Kingdom Death: Monster,2015,Kingdom Death: Monster (2015),8.96631,17,4,TRUE,FALSE,4.0943445622221,4.2085
Fury of Dracula (third edition),2015,Fury of Dracula (third edition) (2015),7.72486,14,5,FALSE,FALSE,5.19295685089021,3.1525
Claustrophobia,2009,Claustrophobia (2009),7.61332,14,2,FALSE,TRUE,3.8066624897703196,2.4892
Samurai,1998,Samurai (1998),7.43979,10,3,FALSE,FALSE,4.0943445622221,2.5089
Small World,2009,Small World (2009),7.35961,8,4,FALSE,FALSE,4.382026634673881,2.3683
Dungeon Lords,2009,Dungeon Lords (2009),7.45888,12,4,FALSE,FALSE,4.499809670330265,3.5288
BattleCON: Devastation of Indines,2013,BattleCON: Devastation of Indines (2013),8.11492,10,2,TRUE,FALSE,3.8066624897703196,3.0606
Blood Bowl: Living Rulebook,2004,Blood Bowl: Living Rulebook (2004),7.8757,12,2,FALSE,TRUE,4.787491742782046,3.1468
Battle Line,2000,Battle Line (2000),7.42334,12,2,FALSE,TRUE,3.4011973816621555,1.9048
Star Wars: Armada,2015,Star Wars: Armada (2015),8.0171,14,2,FALSE,TRUE,4.787491742782046,3.0915
Dixit,2008,Dixit (2008),7.3608,6,6,FALSE,FALSE,3.4011973816621555,1.2642
